pref_code,pref_name,lat,lng,ekimemo_count
01,北海道,43.06417,141.34694,559
02,青森県,40.82444,140.74,172
03,岩手県,39.70361,141.1525,197
04,宮城県,38.26889,140.87194,179
05,秋田県,39.71861,140.1025,149
06,山形県,38.24056,140.36333,120
07,福島県,37.75,140.46778,188
08,茨城県,36.34139,140.44667,132
09,栃木県,36.56583,139.88361,115
10,群馬県,36.39111,139.06083,134
11,埼玉県,35.85694,139.64889,228
12,千葉県,35.60472,140.12333,334
13,東京都,35.68944,139.69167,660
14,神奈川県,35.44778,139.6425,347
15,新潟県,37.90222,139.02361,199
16,富山県,36.69528,137.21139,183
17,石川県,36.59444,136.62556,72
18,福井県,36.06528,136.22194,139
19,山梨県,35.66389,138.56833,72
20,長野県,36.65139,138.18111,266
21,岐阜県,35.39111,136.72222,185
22,静岡県,34.97694,138.38306,216
23,愛知県,35.18028,136.90667,478
24,三重県,34.73028,136.50861,228
25,滋賀県,35.00444,135.86833,116
26,京都府,35.02139,135.75556,240
27,大阪府,34.68639,135.52,485
28,兵庫県,34.69139,135.18306,369
29,奈良県,34.68528,135.83278,127
30,和歌山県,34.22611,135.1675,120
31,鳥取県,35.50361,134.23833,81
32,島根県,35.47222,133.05056,118
33,岡山県,34.66167,133.935,177
34,広島県,34.39639,132.45944,253
35,山口県,34.18583,131.47139,152
36,徳島県,34.06583,134.55944,80
37,香川県,34.34028,134.04333,101
38,愛媛県,33.84167,132.76611,148
39,高知県,33.55972,133.53111,169
40,福岡県,33.60639,130.41806,349
41,佐賀県,33.24944,130.29889,78
42,長崎県,32.74472,129.87361,135
43,熊本県,32.78972,130.74167,156
44,大分県,33.23806,131.6125,85
45,宮崎県,31.91111,131.42389,76
46,鹿児島県,31.56028,130.55806,141
47,沖縄,26.2125,127.68111,22
